#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Affected Flow version,Description
44278,TYPO3.Flow,Bug,"",Resolved,Must have,High memory consumption of Debugger::renderObjectDump() prevents display of Exceptions,Benno Weinzierl,Karsten Dambekalns,2013-01-26 06:37,Error,2.0,2013-01-02,"","",100,2013-01-02 11:43,"","",967500,"",Git master,"When an arbitrary Exception is thrown i get a ""Allowed memory Limit""-Error instead of the Flow Exception-Errormessage.

This seems to occure because \Doctrine\Common\Util\Debug::export($object, 12) is called with 12 nesting levels.
In TYPO3\Flow\Error\Debugger:
<pre>
        ....
	static protected function renderObjectDump($object, $level, $renderProperties = TRUE, $plaintext = FALSE, $ansiColors = FALSE) {
		$dump = '';
		$scope = '';
		$additionalAttributes = '';

		if ($object instanceof \Doctrine\Common\Collections\Collection) {
			return self::renderArrayDump(\Doctrine\Common\Util\Debug::export($object, 12), $level, $plaintext, $ansiColors);
		}
        ...
</pre>

if i change the 12 to 6 for example it works.
Sould this not be at least configurable via Settings.yaml?
"
44280,TYPO3.Flow,Bug,"",Resolved,Should have,Git core:migration check for applied version fail,Tarcisio Fedrizzi,Karsten Dambekalns,2013-01-15 04:38,- Migrations -,2.0,2013-01-03,"","",100,2013-01-03 05:07,"","",967600,"",(any),"When I migrate a package for the changes introduced in the code I get the following error:

<pre>
Applying TYPO3.FLOW3-201201261636
fatal: Invalid object name 'Migration'.
  Migrating Package.Name
    No changes were committed.

  -------------------------------------------------------------------------------
   Notes
  -------------------------------------------------------------------------------
  * \TYPO3\FLOW3\MVC\Web\RequestBuilder does not exist anymore. If you need to
    create requests, do ""new ActionRequest($parentRequest)"".
...
</pre>
I tracked down the problem to the migration script Git.php. The problem is in the
grep parameter specified without the = operator.
The attached patch solves the problem."
44285,TYPO3.Flow,Bug,"",Closed,-- undefined --,TYPO3\FLOW3\Exception thrown in file Scripts.php,torben ,Adrian Föder,2013-08-14 10:05,- Error Handler Report -,"",2013-01-03,"","",0,2013-01-03 08:30,"","",967850,"",Flow 2.0.0 beta 1,"It seems like the PHP binary ""C:\php/php"" cannot be executed by FLOW3. Set the correct path to the PHP executable in Configuration/Settings.yaml, setting TYPO3.FLOW3.core.phpBinaryPathAndFilename.
<pre>
10 TYPO3\FLOW3\Core\Booting\Scripts::initializeProxyClasses(TYPO3\FLOW3\Core\Bootstrap)
9 call_user_func(array, TYPO3\FLOW3\Core\Bootstrap)
8 TYPO3\FLOW3\Core\Booting\Step::__invoke(TYPO3\FLOW3\Core\Bootstrap)
7 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)
6 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)
5 TYPO3\FLOW3\Core\Booting\Sequence::invokeStep(TYPO3\FLOW3\Core\Booting\Step, TYPO3\FLOW3\Core\Bootstrap)
4 TYPO3\FLOW3\Core\Booting\Sequence::invoke(TYPO3\FLOW3\Core\Bootstrap)
3 TYPO3\FLOW3\Http\RequestHandler::boot()
2 TYPO3\FLOW3\Http\RequestHandler::handleRequest()
1 TYPO3\FLOW3\Core\Bootstrap::run()

Please include more helpful information!
</pre>"
44314,TYPO3.Flow,Task,"",Accepted,Must have,slightly file permissions for .../Configuration/* and .../Data/Persistent/EncryptionKey,Rafael Kähm,Karsten Dambekalns,2013-11-25 08:21,Security,"",2013-01-04,"","",0,2013-01-04 12:15,"","",969300,"","","File permissions for all files in 
*Configuration* folder 
and 
*Data/Persistent/EncryptionKey* 
have *644* permissions

they *should be 600*, because Apache and NGINX are for most Webserver configurations in the same group as webspace user. Also one stranger(f. e. by webhosting Server) can read all this files if this one can create symlinks to this files in own webspace.

Evidence: 

* User A:
** document root: /var/www/client1/userA

* User B:
** document root: /var/www/client2/userB

user B makes symlinks to all Configuration/*.yaml and to .../Data/Persistent/EncryptionKey files in its webspace and then call http://users-b-domain.dev/uri-to-symlink-that-points-to-users-A-file to read all this configuration files.
"
44361,TYPO3.Flow,Bug,"",New,Should have,TYPO3\Flow\I18n\Formatter\DatetimeFormatter - caching DATETIME type,Jerzy no-lastname-given,"",2013-08-14 09:35,I18n,2.0.1,2013-01-07,"","",0,2013-01-07 07:10,"","",971650,"",Flow 2.0.0 beta 1,"I've encountered problem with DatetimeFormatter using \TYPO3\Flow\I18n\Cldr\Reader\DatesReader::FORMAT_TYPE_DATETIME with multiple FORMAT_LENGTH_* options - after refreshing site, output is the same for all of them. It works fine with separete FORMAT_TYPE_DATE and FORMAT_TYPE_TIME. 

Code sample:

<pre>
            $someDate = new \DateTime();
            
            $full = $this->i18nDateFormater->format($someDate, $locale, array(
                \TYPO3\Flow\I18n\Cldr\Reader\DatesReader::FORMAT_TYPE_DATETIME,
                \TYPO3\Flow\I18n\Cldr\Reader\DatesReader::FORMAT_LENGTH_FULL
            ));
            var_dump($full);
            
            $short = $this->i18nDateFormater->format($someDate, $locale, array(
                \TYPO3\Flow\I18n\Cldr\Reader\DatesReader::FORMAT_TYPE_DATETIME,
                \TYPO3\Flow\I18n\Cldr\Reader\DatesReader::FORMAT_LENGTH_SHORT
            ));
            var_dump($short);
</pre>

Same thing with view helper:
<pre>
	{f:format.date(date: 'now', localeFormatType: 'dateTime',  localeFormatLength: 'full', forceLocale: true)}
	{f:format.date(date: 'now', localeFormatType: 'dateTime',  localeFormatLength: 'short', forceLocale: true)}
</pre>"
44375,TYPO3.Flow,Task,Feature #36715: Make simultaneous use of multiple persistence backends possible,Accepted,Should have,Make all persistence reads go through repositories,Karsten Dambekalns,Karsten Dambekalns,2013-05-21 07:28,Persistence,"",2013-01-08,"","",0,2013-01-08 07:09,"","",972350,"","","Currently Flow fetches some objects directly via the PersistenceManager, without using the repositories for the fetched objects. This can lead to confusion (if a specialized getter is not called as expected) and prohibits the use of repositories to divert between persistence backends."
44376,TYPO3.Fluid,Bug,"",Resolved,Must have,Paginate widget throws exception,Bastian Waidelich,Bastian Waidelich,2013-01-08 09:36,Widgets,2.0,2013-01-08,"","",100,2013-01-08 07:39,"","",972400,"",Flow 2.0.0 beta 1,"With #43589 the action argument of link/URI ViewHelpers is not optional any longer (except for AJAX widget links/URIs where the argument falls back to the current action).
The template of the provided pagination widget has not been adjusted to that breaking change yet."
44396,TYPO3.Flow,Task,Feature #36715: Make simultaneous use of multiple persistence backends possible,Accepted,Should have,Move Doctrine ORM integration onto own namespace,Karsten Dambekalns,Karsten Dambekalns,2013-05-21 07:28,Persistence,"",2013-01-09,"","",0,2013-01-09 05:43,"","",973400,"","",The @Persistence\Doctrine@ classes must go into @Persistence\Doctrine\ORM@ to avoid clashes.
44397,TYPO3.Flow,Bug,"",Resolved,Must have,Status for code migrations is broken (call to undefined function),Karsten Dambekalns,Karsten Dambekalns,2013-01-09 13:36,- Migrations -,2.0,2013-01-09,"","",100,2013-01-09 05:54,"","",973450,"",Flow 2.0.0 beta 1,The removal of @getPackageKey()@ on the code migrations needs to be reflected in the status output command.
44398,TYPO3.Flow,Task,"",Resolved,Should have,flow:core:migrate should ignore the Libraries folder,Karsten Dambekalns,Karsten Dambekalns,2013-03-19 09:37,- Migrations -,2.0,2013-01-09,"","",100,2013-01-09 05:57,"","",973500,"","",""
