#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Affected Flow version,Description
11893,TYPO3.Flow,Bug,"",Resolved,Should have,The hash identifying a ValueObject isn't sufficient,Jochen Rau,Karsten Dambekalns,2011-07-04 09:05,Persistence,1.0 beta 1,2011-01-05,"","",100,2011-01-04 23:38,"","",1778250,"","","After executing the constructor of a Value Object a hash is generated and stored in FLOW3_Persistence_ValueObject_Hash to identify the Value Object (eg. to support getIdentifierByObject($object)). But the algorithm for generating the hash isn't sufficient for some cases.

Let's assume we have a Value Object \F3\MyExt\Domain\Model\Color with a property $colorNumber=42. This Value Object has the same hash as a Value Object \F3\MyExt\Domain\Model\Length with a property $value=42. The same problem occurs, if a Value Object stores other objects in an SplObjectStorage or uses PHP classes like DateTime.

IMHO the identity of a ValueObject is fully determined only by taking all property values (including SplObjectStorages) *and* the class into account. The test for FLOW3_Persistence_Entity_UUID could possibly be dropped as a Value Object by definition can't reference to Entities."
11948,TYPO3 Flow Base Distribution,Story,"",Resolved,Should have,Security Framework improvements,Sebastian Kurfuerst,"",2011-05-06 03:56,"",1.0 beta 1,"","","",50,2011-01-06 08:14,"","",1766150,0.00,"",""
11950,TYPO3 Flow Base Distribution,Task,Story #11948: Security Framework improvements,Closed,Should have,Re-visit HMAC features,Sebastian Kurfuerst,Andreas Förthner,2011-05-06 02:17,"",1.0 beta 1,"","","",0,2011-01-06 08:14,"","",70350,"","",""
11951,TYPO3 Flow Base Distribution,Task,Story #11948: Security Framework improvements,Closed,Should have,Plan Implementation of Request Stack,Sebastian Kurfuerst,"",2011-05-06 02:17,"",1.0 beta 1,"","",0.00,0,2011-01-06 08:14,"","",70400,0.00,"",""
11953,TYPO3 Flow Base Distribution,Task,Story #11948: Security Framework improvements,Closed,Should have,look through issues in the tracker with the security category,Sebastian Kurfuerst,"",2011-05-06 02:17,"",1.0 beta 1,"","",0.00,0,2011-01-06 08:15,"","",70450,0.00,"",""
11954,TYPO3.Flow,Task,"",Resolved,Should have,Check the current status of i18n / L10n,Sebastian Kurfuerst,Karsten Dambekalns,2011-12-21 06:37,I18n,1.1 beta 1,"","","",50,2011-01-06 08:17,"","",70500,0.00,"",""
11955,TYPO3.Flow,Task,Task #11954: Check the current status of i18n / L10n,Resolved,Should have,assess the current state of the I18n feature,Sebastian Kurfuerst,Karsten Dambekalns,2011-12-21 06:37,I18n,1.1 beta 1,"","","",100,2011-01-06 08:17,"","",70550,"","",""
11956,TYPO3.Flow,Task,Task #11954: Check the current status of i18n / L10n,Resolved,Should have,"check Translate-ViewHelper in incubation state, and migrate it to fluid",Sebastian Kurfuerst,Karsten Dambekalns,2011-05-06 04:11,"",1.0 beta 1,"","","",100,2011-01-06 08:18,"","",70600,"","",""
11957,TYPO3.Flow,Task,Task #11954: Check the current status of i18n / L10n,Resolved,Should have,check how JavaScript strings can be translated,Sebastian Kurfuerst,Rens Admiraal,2011-12-15 13:34,"",1.0 beta 1,"","",0.00,100,2011-01-06 08:19,"","",70650,0.00,"",""
11958,TYPO3 Flow Base Distribution,Story,"",Resolved,Should have,Check loose ends in FLOW3,Sebastian Kurfuerst,"",2011-05-06 04:09,"",1.0 beta 1,"","","",0,2011-01-06 08:20,"","",1766300,0.00,"",""
11964,TYPO3 Flow Base Distribution,Task,"",Closed,Should have,Profile under windows,Sebastian Kurfuerst,Bastian Waidelich,2012-05-08 12:00,"",1.1,"","","",0,2011-01-06 08:23,"","",70900,"","",""
11969,TYPO3.Fluid,Task,"",Closed,Must have,Make widgets' template configurable,Sebastian Kurfuerst,Adrian Föder,2012-12-10 07:08,Widgets,2.0 beta 1,2011-04-01,"",0.00,100,2011-01-06 08:31,"","",71000,0.00,"",""
11970,TYPO3 Flow Base Distribution,Task,Story #11958: Check loose ends in FLOW3,Closed,Should have,Improve error handling in Property Mapper,Sebastian Kurfuerst,"",2011-05-06 02:17,"",1.0 beta 1,"","",0.00,0,2011-01-06 08:31,"","",71050,0.00,"",""
12099,TYPO3 Flow Base Distribution,Task,Story #11169: Implement new operator support,Resolved,Should have,Check feasibility and create rough concept,Robert Lemke,Robert Lemke,2011-05-06 02:12,"",1.0 beta 1,"","",0.00,0,2011-01-11 09:20,"","",71450,0.00,"",""
12100,TYPO3 Flow Base Distribution,Task,Story #11169: Implement new operator support,Resolved,Should have,Implement a generic Proxy Builder,Robert Lemke,Robert Lemke,2011-05-06 02:12,"",1.0 beta 1,"","",0.00,0,2011-01-11 09:20,"","",71500,0.00,"",""
12190,TYPO3.Flow,Bug,"",Resolved,Must have,Aggregate root detection does not work for non-standard repositories,Karsten Dambekalns,Karsten Dambekalns,2011-07-09 06:35,Persistence,1.0 beta 1,2011-01-13,"",2.00,100,2011-01-13 11:17,"","",1810650,"","","If a repository and the model it holds don't match via the naming conventions, the ReflectionService does not detect that the model is an aggregate root."
12204,TYPO3 Flow Base Distribution,Task,Story #11958: Check loose ends in FLOW3,Resolved,Should have,Improve Fluid Resource Interceptor Performance,Sebastian Kurfuerst,Sebastian Kurfuerst,2011-05-06 02:17,"",1.0 beta 1,"","",0.00,0,2011-01-14 02:50,"","",72700,0.00,"","While I profiled the welcome package, I noticed that much time was spent during preg_match -- see attached screenshot ""before"". A quick drill-down showed that this was almost fully spent in the resource interceptor of fluid (99,2% of the time).

That's why I decided to optimize the RegEx a little bit, and add an early return which covers most cases, leading to a much improved behavior (see attached screenshot ""after"").

"
