#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Description
44683,Base Distribution,Task,"Story #41101: As user, I want a well-working content editing (Bugfix Story)",Resolved,Should have,"Image upload of some filetypes is not working, button ""Upload!"" is disfunctional",Christopher Hlubek,Christopher Hlubek,2013-01-24 03:36,"","","","","",0.00,100,2013-01-21 03:44,"","",987750,"",""
44912,Base Distribution,Story,"",Accepted,Must have,Exploration: Accessible Neos Content Editing Module,Sebastian Kurfuerst,Patrick Broens,2013-01-29 10:48,Content Editing,Sprint February 2013,2013-01-29,"","",0.00,63,2013-01-29 09:02,"","",2954700,0.00,"As a user with disabilities, I want an accessible Neos Content Editing Module in order to interact with the website. *This task is about exploring the steps towards a more accessible Neos.*

DoD is an *answer to the following question*:

* What do we need to change in order to improve accessibility? What are easy-to-fix things in this area?
* Which general guidelines should we adhere to when creating new JavaScript parts in the Content Module?
* What needs to be done in the remaining Neos backend (f.e. Management Module) to make it accessible?
* How can keyboard shortcuts help with Accessibility?"
44913,Base Distribution,Story,"",On Hold,Should have,RESTful NodeController for easy comment creation,Robert Lemke,"",2013-05-31 05:49,Content Management,"","","","",0.00,100,2013-01-29 09:08,"","",1757900,0.00,"As a site integrator I want a RESTful NodeController in order to create blog post comments by just coding a Fluid-based form.

DoD
 - POST request on ...../blog/posts/my-blog-post/comments creates a new comment
 - properties are validated (-HTML not allowed in post comment- (Note: we don't support markup at all -> htmlspecialchars) email address required)
 - on validation error the user is returned to the original page with the form values still filled in and an error message displayed
 - NodeController also handles other types of content, for example Page"
44916,Base Distribution,Story,"",New,Should have,Explore: Usage of Touch Screens for Neos,Sebastian Kurfuerst,Patrick Broens,2013-01-29 09:19,Content Management,Sprint February 2013,2013-01-29,"","",0.00,0,2013-01-29 09:19,"","",2954750,"","As a normal user, I want to use Neos with a tablet or another touch-enabled device.

DoD:

* Which guidelines do we need to follow in order to make Neos usable on a touch device?
* Try out Neos on an iPad and list the problems
* Check both the Content Module and also the remaining backend (e.g. Management Module)"
44917,Base Distribution,Task,Story #44913: RESTful NodeController for easy comment creation,Resolved,Should have,Add support for transient nodes,Bastian Waidelich,Bastian Waidelich,2013-02-25 13:35,"","","","","",0.00,100,2013-01-29 09:22,"","",999250,"","Simplify *NodeInterface* and create sub-interface *PersistedNodeInterface*.
*Node templates* implement the base NodeInterface and are not yet stored in the node repository."
44918,Base Distribution,Task,Story #44913: RESTful NodeController for easy comment creation,Resolved,Should have,NodeTemplateConverter,Bastian Waidelich,"",2013-02-25 13:35,"","","","","",0.00,100,2013-01-29 09:23,"","",999300,"","expects node properties and returns a ""NodeTemplate"" that can be attached to a persistent node"
44919,Base Distribution,Story,"",Accepted,Should have,Use Expose for listing BlogPost-Nodes in Frontend,Sebastian Kurfuerst,Marc Neuhaus,2013-01-29 10:23,Content Rendering,Sprint February 2013,"","","",0.00,0,2013-01-29 09:24,"","",2954800,0.00,"As a developer, we want to use Expose for listing BlogPost-Nodes in Frontend

DoD:

* show blog post teasers, with links to the full posts
* use Pagination from Expose"
44920,Base Distribution,Story,"",Accepted,Should have,Keyboard shortcuts for content editing,Robert Lemke,Rens Admiraal,2013-08-09 10:44,Content Editing,Sprint February 2013,"","","",0.00,20,2013-01-29 09:28,"","",1757850,0.00,"As a content editor I want to create new content elements and navigate with keyboard shortcuts in order to stay focussed and don't interrupt the writing flow

Definition of done:

* when the focus is on an existing content element, I can open the ""create new element"" flyout (""+"" icon)  by pressing CTRL-N
* I can select the type of the content to create by using the arrow keys and pressing enter
* I can close the dialog by pressing ESC
* when the cursor is at the end of the text I can switch to the content element below by pressing the arrow-down key
* when the cursor is at the beginning of the text I can switch to the content element above by pressing the arrow-up key
"
44921,Base Distribution,Story,"",Accepted,Should have,Decide TypoScript and TYPO3CR Naming,Sebastian Kurfuerst,Sebastian Kurfuerst,2013-01-30 10:37,Content Rendering,Sprint February 2013,2012-10-20,"","",0.00,33,2013-01-29 09:44,"","",2954850,0.00,"As Site Integrator, I want to use consistent TypoScript and TYPO3CR Content Types.

As part of this, the names of content type schema, and the TypoScript properties should be gone through.

List of TODOs:

* https://review.typo3.org/#/c/17510/ (grep for ""TODO"")
"
44922,Base Distribution,Task,Story #44920: Keyboard shortcuts for content editing,Under Review,Should have,Change content element selection on 'TAB',Rens Admiraal,Rens Admiraal,2013-01-31 08:57,"",Sprint February 2013,"","","",0.00,0,2013-01-29 09:51,"","",999350,"",""
44923,Base Distribution,Story,"",New,Should have,Multi-Lingual User Interface,Sebastian Kurfuerst,"",2013-01-30 08:06,"",1.1,"","","",0.00,0,2013-01-29 10:07,"","",1757600,"","As Neos user, I want to see labels and messages in my native language.

DoD:

* All labels and messages are available in english and german
* Preferred language can be selected in user settings"
