#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Affected Flow version,Description
5879,TYPO3.Fluid,Bug,"",Resolved,Should have,It's not possible to make the multiple attribute optional,Kim Lang,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-01-04,2010-06-21,"",100,2010-01-03 19:34,"","",2598000,"","","In my extension i have a flexform where i can configure the attributes of every formfield.
I use the IF inline syntax in the ""view"" to achieve this.

This works well for all attributes except for the multiple attribute.


Example:
<pre>
<f:form.Select 
	property=""{fieldHelper.name}"" 

 	options=""{fieldHelper.config.options}""

	id=""{form.name}_{fieldHelper.name}""

	disabled=""{f:if(condition: fieldHelper.config.disabled, then: 'disabled')}""
	multiple=""{f:if(condition: fieldHelper.config.multiple, then: 'multiple')}""
	
	accesskey=""{fieldHelper.config.accesskey}""
	tabindex=""{f:if(condition: fieldHelper.config.tabindex, then: fieldHelper.config.tabindex)}""
/>
</pre>

The problem is in the SelectViewHelper it checks only if the attribute is given not have a value.
Lines: 111, 125, 213
if ($this->arguments->hasArgument('multiple')) {


this syntax is unfortunately not working:
<pre>
<f:form.Select 
	{f:if(condition: fieldHelper.config.multiple, then: 'multiple=""multiple""')}
/>
</pre>
"
5882,TYPO3.Flow,Feature,"",Closed,Could have,Caching for Package Manager/Package file listing,Manuel Strausz,"",2012-01-26 09:24,Package,"",2010-01-04,"","",50,2010-01-04 08:30,"","",1780850,"","","Currently, everytime FLOW3's Package Manager initializes it will traverse the folder structure via a DirectoryIterator. And for each active package, an array of class files will be built in much the same way.
This doesn't have much of a performance impact when deploying in a linux environment, however it seems to take about 0.5 - 1.0 seconds to do on a windows machine (at least that's the number I got from my tests).
I think the package manager and the packages themselves could really use some caching to solve this performance impact, and could generally be useful to minimize the number of filesystem operations. The difficult part about that is that at this point in the bootstrap process, there isn't any way to access the CacheManager (except by pre-loading it and circumventing the ObjectManager). So a different way of caching would be needed, maybe similarly to the way configuration files are cached."
5889,TYPO3.Flow,Bug,"",Resolved,Could have,Kickstart twice defined as svn:external,Thomas Allmer,Robert Lemke,2010-10-20 05:40,"",1.0 alpha 7,2010-01-05,"","",100,2010-01-05 08:33,"","",1799350,"","","In the base distribution (https://svn.typo3.org/FLOW3/Distributions/Base) the Kickstart is defined twise as svn:external 
just a consmetical fix; but as I just saw it though well report it... :p

<pre>
[...]
Fluid https://svn.typo3.org/FLOW3/Packages/Fluid/trunk/
Kickstart https://svn.typo3.org/FLOW3/Packages/Kickstart/trunk/
Party https://svn.typo3.org/FLOW3/Packages/Party/trunk/
[...]
Kickstart https://svn.typo3.org/FLOW3/Packages/Kickstart/trunk/
</pre>"
5927,TYPO3.Flow,Task,Task #27561: Complete documentation,Resolved,Must have,Write documentation for Cache Framework,Robert Lemke,Karsten Dambekalns,2011-06-21 10:31,- Documentation -,1.0 beta 1,2010-01-08,"","",100,2010-01-08 03:32,"","",25700,"","",The basic use of the cache framework and the setup of its different backends needs to be documented.
5933,TYPO3.Fluid,Feature,"",Accepted,Should have,Optional section rendering,Nathan L,Sebastian Kurfuerst,2012-05-21 10:18,ViewHelpers,"",2010-06-18,2010-06-25,2.00,20,2010-01-08 10:34,"","",2597950,"","","It would be nice to be able to make a section optional.

If a template does not define the ""food"" section, then the default food will be shown if optional is set:
<f:render section=""food"" optional=""true"">
    <p>Default food: potato chips</p>
</f:render>

If a default value is not set, then it will render nothing:
<f:render section=""food"" optional=""true"" />


If optional=""true"" is not set, then an exception will be thrown. This is the normal behavior so nothing should change for anyone unless they add the optional parameter."
5963,TYPO3.Fluid,Bug,"",Closed,Won't have this time,Multiple Select Form helper fails when value is Tx_Extbase_Persistence_ObjectStorage,Nathan L,"",2010-10-20 05:44,ViewHelpers,"",2010-01-11,"","",0,2010-01-11 18:02,"","",2597900,"","","<f:form.select multiple=""true"" size=""4"" property=""dishTypes"" options=""{allDishTypes}"" optionLabelField=""name""></f:form.select>

This failed to mark selected items as selected when recipe->getDishTypes() returns a Tx_Extbase_Persistence_ObjectStorage

See the patch for the change I made to make it functional.

Basically the getOptions method converts the values away from objects.

Actually, this change I made should probably be done in getSelectedValue() but I have no time and have to catch my carpool.



"
5995,TYPO3.Flow,Feature,"",Resolved,Could have,Implicitly call __toString method if action result is an object,Robert Lemke,Robert Lemke,2010-10-20 05:40,MVC,1.0 alpha 7,2010-01-13,"","",100,2010-01-13 05:57,"","",1799300,"","","If an action method returns an object, the ActionController should check if a __toString method exists and if so call it and append its result to the response content."
5998,TYPO3.Flow,Feature,"",Resolved,Should have,More flexible subpackage directory structure,Robert Lemke,Robert Lemke,2010-10-20 05:40,MVC,1.0 alpha 7,2010-01-13,"","",100,2010-01-13 06:32,"","",1799250,"","","Currently there is an option to set a @subpackage in a route configuration which will later be translated into a class name by the Request object (see getControllerObjectName()). The pattern for such a class name / object name is hardcoded and reads like this:

<pre>
F3\@package\@subpackage\Controller\@controllerController
</pre>

If an application for its own reasons wants to structure controller differently, routes cannot resolve the object name of the controller anymore. For example if a set of controllers dealing with the account of a user need to be collected in one directory, this structure would be nice:

<pre>
  MyPackage\
     Classes\
        Controller\
           Account\
              RegistrationController.php
              PersonalInfo.php
              CancellationController.php

</pre>

which would result in the following pattern:

<pre>
F3\@package\Controller\@subpackage\@controllerController
</pre>

This is, however, not possible at the moment because the pattern is not configurable and even if so, it would conflict with other packages relying on other patterns. Additionally ""sub package"" doesn't really fit anymore once we refer to a sub structure below ""Controllers"".

We could for example allow @controller to contain namespace separators:

<pre>
   @package: ""MyPackage""
   @controller: ""Account\Registration""
</pre>
"
6003,TYPO3.Fluid,Bug,"",Resolved,Should have,ObjectAccessorNode::evaluate calls ObjectAccessor even if variable is not an object or array,Robert Lemke,Robert Lemke,2010-10-20 05:44,Core,1.0.0 alpha 7,2010-01-13,"","",100,2010-01-13 10:26,"","",2604100,"","","ObjectAccessorNode::evaluate calls ObjectAccessor even if variable is not an object or array.
"
6004,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,Closed,Should have,"Checkbox viewHelper throws exception in ""newAction"" method.",Nathan L,Bastian Waidelich,2012-01-18 15:30,ViewHelpers,"",2010-01-13,"","",0,2010-01-13 10:45,"","",26200,"","","I'm not sure if this is a bug or just the way it is supposed to work.  Maybe this should be filed under Fluid or not, I'm not sure. I made changes to my extBase model in order to make it work.

Here is an example scenario:

<pre>
class Myobj {
/**
 * iampretty
 * @param boolean
 */
 protected $iampretty;
    
 // standard getter/setter
}

/**
 * Show a form to create a new object
 *
 * @param Tx_Myext_Domain_Model_Myobj $myobj A new object that is yet to be created
 * @return string A form for providing the objects properties.
 */
function newAction($myobj = NULL) {
    $this->view->assign('myobj',$myobj);
}

<f:form method=""post"" controller=""Example"" action=""create""  name=""myobj"" object=""{myobj}"">

    <f:form.checkbox property=""iampretty"" value=""1"" /> Am I pretty?

<f:/form>
</pre>

This throws an exception: *#1243325768: No value found for key ""Tx_Fluid_ViewHelpers_FormViewHelper->formObject""*

However, if I modify my newAction to look like this, then the error isn't thrown:

<pre>
function newAction($myobj = NULL) {
    if ($myobj == NULL) {
        $myobj = t3lib_div::makeInstance('Tx_Myext_Domain_Model_Myobj');
    }
    $this->view->assign('myobj',$myobj);
}
</pre>


But there is a different issue!  Here is how the checkbox renders:

*Checkbox viewhelpers can only be bound to properties of type boolean or array. Property ""iampretty"" is of type ""NULL"".*

I can make this go away by adding this constructor to my domain object:

<pre>
public function __construct() {	
    $this->iampretty = false;
}
</pre>

Now everything works!  I'm just not sure if it this is how it is supposed to work.  

"
6005,TYPO3.Flow,Bug,"",Resolved,Should have,ObjectAccess::getProperty() behaves not as documented when property does not exist,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:40,Reflection,1.0 alpha 8,2010-01-13,"","",100,2010-01-13 10:51,"","",1803150,"","","The method should throw an exception as per it's documentation, but returns NULL, which is not really the same thing (think '' vs. NULL)."
6006,TYPO3.Flow,Feature,"",Resolved,Must have,"Base FLOW3 persistence directly on database, not on TYPO3CR",Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:40,Persistence,1.0 alpha 7,2010-01-13,"","",100,2010-01-13 10:55,"","",1799200,"","","Once upon a time we decided to use JSR-283 for storing our content. That still makes sense for the CMS, but for the framework it turned out to be too much overhead and being in the way of elegantly using TYPO3CR for the CMS (because it always feels like using something that we shouldn't use because it's infrastructure...).

So, create a FLOW3 persistence backend that directly uses a DB."
6008,TYPO3.Flow,Feature,"",Resolved,Should have,Automatically purge files of removed resources,Robert Lemke,Karsten Dambekalns,2010-10-20 05:40,Resource,1.0 alpha 8,2010-01-13,"","",100,2010-01-13 10:59,"","",1803100,"","","When a resource object is discarded, the related file should be removed as well.

However, such a mechanism requires that the persistence framework provides some kind of hook to notifiy the resource manager about the removal of resource objects."
6028,TYPO3.Flow,Bug,"",Resolved,Must have,DataMapper cannot handle wrongly typed input.,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:40,Persistence,1.0 alpha 7,2010-01-14,"","",100,2010-01-14 11:24,"","",1799150,"","","When a property value comes back from the persistence depths as string, but is supposed to be an integer (or some other type), it is processed as string. That leads to problems when persisting again and changes data, which obviously should not happen."
6029,TYPO3.Flow,Bug,"",Resolved,Must have,PdoBackend cannot handle uninitialized DateTime properties,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:40,Persistence,1.0 alpha 7,2010-01-14,"","",100,2010-01-14 11:26,"","",1799100,"","","Properties with a declared type of DateTime that have a NULL value break persistence, because the PdoBackend tries to use their value as DateTime object..."
6030,TYPO3.Flow,Bug,"",Resolved,Should have,"Router needlessly lowercases names of package, controller, action",Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:40,MVC,1.0 alpha 7,2010-01-14,"","",100,2010-01-14 11:30,"","",1799050,"","","Templates in Fluid need to be in a path whose parts have to be lowercased, which breaks consistency. That is caused by the Router applying strtolower() on a bunch of values in setControllerKeysAndFormat(). Furthermore some of those calls are double-whoppered, e.g. for the package key. Just check what happens in Request::setControllerPackageKey()..."
6047,TYPO3.Flow,Bug,"",Resolved,Should have,./flow3 - wrong flush cache controller ,Julian Kleinhans,Robert Lemke,2010-10-20 05:40,Core,1.0 alpha 7,2010-01-16,"","",100,2010-01-15 18:18,"","",1799000,"","","Hi,

the commandline script ./flow3 calls a wrong controller by flushing the cache

line 177 
CONTROLLER='Manager'

but there is no ""ManagerController"" only a ""CacheManagerController""

Change this line and it works!

CONTROLLER='CacheManager'"
6059,TYPO3.Flow,Bug,"",Resolved,Must have,./flow3 - wrong package controller,Zach Davis,Robert Lemke,2010-10-20 05:40,Core,1.0 alpha 7,2010-01-16,2010-01-18,"",100,2010-01-16 14:39,"","",1798950,"","","I believe that line 127 should be changed from:

CONTROLLER='Manager'

to:

CONTROLLER='PackageManager'

Seems that when classes were renamed, perhaps they didn't get renamed in the flow3 script (see related bug 6047)"
6069,TYPO3.Flow,Bug,"",Resolved,Must have,PdoBackend cannot handle uninitialized SplObjectStorage properties,Karsten Dambekalns,Karsten Dambekalns,2010-10-20 05:40,Persistence,1.0 alpha 7,2010-01-18,"","",100,2010-01-18 03:49,"","",1798900,"","","Properties with a declared type of @SplObjectStorage@ that have a NULL value break persistence.

Zachary Davis
> In my application, I have two models: accounts and users. Account models have a property like this:
<pre>
/**
  * @var \SplObjectStorage<\F3\MyApp\Domain\Model\User>
  */
 protected $users;
</pre> 
> Prior to upgrading the FLOW3 source, I was able to persist Account objects without setting the $users property. After upgrading, attempts to persist accounts fail with this error:
> 
> #1: Catchable Fatal Error: Argument 1 passed to F3\FLOW3\Persistence\Backend\PdoBackend::processSplObjectStorage() must be an instance of SplObjectStorage, null given, called in /opt/local/apache2/htdocs/tutorial/Packages/Framework/FLOW3/Classes/Persistence/Backend/PdoBackend.php on line 247 and defined in /opt/local/apache2/htdocs/tutorial/Packages/Framework/FLOW3/Classes/Persistence/Backend/PdoBackend.php line 388 (More information)
> 
> For now, I've fixed it by setting users to an empty SplObjectStorage instance in the User constructor.  "
