#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
1794,TYPO3.Fluid,Task,"",Resolved,Should have,"Rename ""DynamicNode""",Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-10-23,"","",100,2008-10-23 09:39,"","",9400,"","","","Right now we have four kinds of ""nodes"":
* ObjectAccessorNode
* TextNode
* RootNode
* DynamicNode

(There will be another node for array arguments).

""DynamicNode"" isn't an appropriate name, as all nodes are kind of dynamic (except for the TextNode).

Todo: find a better name ;)"
1795,TYPO3.Fluid,Task,"",Resolved,Should have,Restructure Node Architecture,Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-10-23,"","",0,2008-10-23 09:53,"","",9450,"","","","Currently we have:
* AbstractNode [implements NodeInterface]
* * ObjectAccessorNode
* * TextNode
* * DynamicNode
* * RootNode

NodeInterface contains four methods renderSubtree(), evaluateSubtree(), addToContext(), removeFromContext(). They are actually only supported by DynamicNode. So we rather need something like:

* AbstractNode
* * ObjectAccessorNode
* * TextNode
* * DynamicNode [implements TreeInterface, ContextNodeInterface]
* * RootNode [implements TreeInterface]

(""TreeInterface"" and ""ContextNodeInterface"" are no adequate names at all, I just can't think of better ones at the moment).


"
1796,TYPO3.Fluid,Task,"",Resolved,Should have,ubiquitous naming,Bastian Waidelich,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-10-23,"","",100,2008-10-23 09:58,"","",9500,"","","","To avoid introducing a lot of new designators and methods we should unify the naming.
That is (for example):
* renderSubtree() -> renderChildNodes()
* evaluateSubtree() -> evaluateChildNodes()
* $subnodes -> $childNodes
* addSubNode() -> addChildNode()"
1907,TYPO3.Fluid,Feature,"",New,Could have,Default values for view helpers based on context,Sebastian Kurfuerst,"",2014-03-10 12:53,Core,"",2008-10-29,"","",0,2008-10-29 11:34,"","",2602550,"","","","We should supply a mechanism in the ""ViewHelperNode"" which will merge the given parameters with certain default parameters.

The default parameters should be context dependent (However, we don't know yet how this might look like).

This would be helpful for numerous cases:

* <f3:uri.linkTo> -> ""action"", ""controller"", and ""package"" arguments could be supplied if no other parameter given
* Link parameters - we could realize something like ""keepPIVars"" with this feature
* <f3:image> tag - supplying default parameters for maxWidth, maxHeight, ..."
1927,TYPO3.Fluid,Bug,"",Resolved,Should have,Rename context to VariableContainer,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-10-31,"","",0,2008-10-31 08:32,"","",2602500,"","","","We just decided, that we should rename the ""Context"" to ""VariableContainer"", as this is more appropriate on what it does.

""Context"" might be used differently - let's see."
1928,TYPO3.Fluid,Bug,"",Rejected,Should have,Fail silently in production mode,Sebastian Kurfuerst,"",2011-05-05 12:27,"","",2008-10-31,"","",0,2008-10-31 08:33,"","",2602450,"","","",All runtime exceptions should be caught in production mode and outputted somewhere else.
1929,TYPO3.Fluid,Bug,"",Resolved,Must have,HTMLSPECIALCHAR OUTPUT,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"",1.0.0 alpha 1,2008-10-31,"","",100,2008-10-31 08:35,"","",2603150,"","","","HTMLSpecialChar has to be switched on somewhere (where?), and then each view helper will automatically htmlspecialchar the output coming from ObjectAccessors. (""render""-method in ObjectAccessor)"
1930,TYPO3.Fluid,Bug,"",Resolved,Should have,Use class-based view helpers,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-10-31,"","",100,2008-10-31 08:35,"","",2602400,"","","","after some really long long discussions with bastian, we decided that view helpers should be class-based. Finally ;-)"
1985,TYPO3.Fluid,Feature,"",Resolved,Should have,"Rename core classes to ""Core""",Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-11-07,"","",100,2008-11-07 16:41,"","",2602350,"","","",Rename standard classes to core package
1986,TYPO3.Fluid,Bug,"",Resolved,Should have,changes in TemplateView,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-11-07,"","",100,2008-11-07 16:45,"","",2602300,"","","",rename templatePath to templatePattern inside templateview
1987,TYPO3.Fluid,Feature,"",Resolved,Should have,TemplateView,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-11-07,"","",100,2008-11-07 16:47,"","",2602250,"","","","TemplateView should add ""view"" (itself) to context"
1988,TYPO3.Fluid,Feature,"",Resolved,Should have,create multiple facets(=Interfaces) for ViewHelpers,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-11-07,"","",100,2008-11-07 16:48,"","",2602200,"","","","- ""onParse"" facet
- ""useChildNodes"" facet"
1992,TYPO3.Fluid,Bug,"",Resolved,Should have,test scope prototype,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2008-11-08,"","",100,2008-11-08 04:34,"","",2602150,"","","",in viewhelpernode
